"participant","set","activity","x","y","timestamp"
"P20","A","PLAY",492,1024,0
"P20","A","PLAY",418,1059,86
"P20","A","PLAY",389,1017,120
"P20","A","PLAY",393,1024,152
"P20","A","PLAY",400,1035,180
"P20","A","PLAY",393,1079,209
"P20","A","PLAY",397,1039,235
"P20","A","PLAY",388,1034,262
"P20","A","PLAY",425,1057,289
"P20","A","PLAY",301,1084,315
"P20","A","PLAY",203,885,342
"P20","A","PLAY",343,1078,368
"P20","A","PLAY",291,1041,398
"P20","A","PLAY",287,1055,430
"P20","A","PLAY",294,1045,457
"P20","A","PLAY",265,1130,489
"P20","A","PLAY",328,1079,520
"P20","A","PLAY",284,1061,547
"P20","A","PLAY",353,1073,574
"P20","A","PLAY",266,1052,601
"P20","A","PLAY",331,1086,628
"P20","A","PLAY",288,1104,654
"P20","A","PLAY",327,977,682
"P20","A","PLAY",267,1052,708
"P20","A","PLAY",340,1076,736
"P20","A","PLAY",348,1089,765
"P20","A","PLAY",281,1062,791
"P20","A","PLAY",193,1042,819
"P20","A","PLAY",274,1056,846
"P20","A","PLAY",286,969,873
"P20","A","PLAY",154,976,900
"P20","A","PLAY",195,1036,929
"P20","A","PLAY",291,1061,956
"P20","A","PLAY",178,1084,982
"P20","A","PLAY",223,1122,1010
"P20","A","PLAY",224,1052,1036
"P20","A","PLAY",255,1053,1065
"P20","A","PLAY",233,1068,1096
"P20","A","PLAY",210,1035,1123
"P20","A","PLAY",193,1062,1149
"P20","A","PLAY",199,1047,1176
"P20","A","PLAY",299,991,1202
"P20","A","PLAY",209,1027,1231
"P20","A","PLAY",256,1085,1258
"P20","A","PLAY",245,1032,1290
"P20","A","PLAY",251,1057,1317
"P20","A","PLAY",270,1053,1345
"P20","A","PLAY",276,1039,1375
"P20","A","PLAY",295,1120,1404
"P20","A","PLAY",260,1060,1431
"P20","A","PLAY",250,1027,1458
"P20","A","PLAY",290,1049,1484
"P20","A","PLAY",279,1083,1513
"P20","A","PLAY",313,1076,1539
"P20","A","PLAY",223,1047,1566
"P20","A","PLAY",216,1045,1592
"P20","A","PLAY",171,1079,1621
"P20","A","PLAY",154,935,1648
"P20","A","PLAY",251,1074,1680
"P20","A","PLAY",218,1066,1707
"P20","A","PLAY",234,1051,1738
"P20","A","PLAY",229,1033,1765
"P20","A","PLAY",206,1038,1792
"P20","A","PLAY",241,1038,1820
"P20","A","PLAY",304,997,1848
"P20","A","PLAY",270,1115,1874
"P20","A","PLAY",253,1055,1901
"P20","A","PLAY",282,1096,1928
"P20","A","PLAY",260,1040,1955
"P20","A","PLAY",525,676,1982
"P20","A","PLAY",620,498,2010
"P20","A","PLAY",623,488,2039
"P20","A","PLAY",642,503,2065
"P20","A","PLAY",617,485,2092
"P20","A","PLAY",625,476,2119
"P20","A","PLAY",624,489,2147
"P20","A","PLAY",616,481,2175
"P20","A","PLAY",631,488,2203
"P20","A","PLAY",630,454,2229
"P20","A","PLAY",623,494,2256
"P20","A","PLAY",617,472,2283
"P20","A","PLAY",613,498,2312
"P20","A","PLAY",626,467,2339
"P20","A","PLAY",669,492,2366
"P20","A","PLAY",1049,388,2393
"P20","A","PLAY",1447,429,2420
"P20","A","PLAY",1518,416,2447
"P20","A","PLAY",1494,387,2476
"P20","A","PLAY",1512,373,2503
"P20","A","PLAY",1521,379,2531
"P20","A","PLAY",1455,359,2558
"P20","A","PLAY",977,402,2585
"P20","A","PLAY",910,428,2611
"P20","A","PLAY",922,402,2638
"P20","A","PLAY",903,412,2665
"P20","A","PLAY",922,442,2692
"P20","A","PLAY",919,438,2721
"P20","A","PLAY",907,436,2749
"P20","A","PLAY",910,411,2776
"P20","A","PLAY",918,292,2802
"P20","A","PLAY",923,317,2829
"P20","A","PLAY",898,317,2856
"P20","A","PLAY",911,300,2884
"P20","A","PLAY",928,307,2910
"P20","A","PLAY",921,293,2938
"P20","A","PLAY",921,328,2964
"P20","A","PLAY",912,321,2991
"P20","A","PLAY",654,315,3018
"P20","A","PLAY",422,309,3045
"P20","A","PLAY",417,340,3072
"P20","A","PLAY",422,287,3099
"P20","A","PLAY",439,341,3126
"P20","A","PLAY",445,293,3158
"P20","A","PLAY",447,321,3185
"P20","A","PLAY",428,325,3212
"P20","A","PLAY",454,310,3239
"P20","A","PLAY",450,315,3266
"P20","A","PLAY",418,300,3293
"P20","A","PLAY",420,311,3320
"P20","A","PLAY",437,312,3347
"P20","A","PLAY",444,297,3374
"P20","A","PLAY",432,325,3401
"P20","A","PLAY",447,295,3427
"P20","A","PLAY",343,357,3454
"P20","A","PLAY",121,481,3482
"P20","A","PLAY",141,505,3509
"P20","A","PLAY",131,506,3535
"P20","A","PLAY",109,495,3562
"P20","A","PLAY",163,540,3589
"P20","A","PLAY",112,513,3616
"P20","A","PLAY",1645,438,3835
"P20","A","PLAY",1618,392,3856
"P20","A","PLAY",1624,392,3889
"P20","A","PLAY",1681,378,3917
"P20","A","PLAY",1612,443,3945
"P20","A","PLAY",1620,428,3971
"P20","A","PLAY",1643,441,3998
"P20","A","PLAY",1664,416,4026
"P20","A","PLAY",1646,398,4053
"P20","A","PLAY",1635,259,4081
"P20","A","PLAY",1669,225,4108
"P20","A","PLAY",1668,198,4135
"P20","A","PLAY",1671,248,4162
"P20","A","PLAY",1681,233,4189
"P20","A","PLAY",1671,231,4216
